sortable_name,id,Disc1,Disc2,Disc3,Disc4,Disc5,Disc6,Disc7,Disc8,Disc9,Disc10,Disc11,Disc12,Disc13,Disc14,Disc15,SeekFind1,SeekFind2,SeekFind3,SeekFind4,SeekFind5,SeekFind6,SeekFind7,SeekFind8,SeekFind9,SeekFind10,SeekFind11,SeekFind12,SeekFind13,SeekFind14,SeekFind15
"Esqueda, Elza",4692,"(50, 9, [(2090, 0), (1651, 0), (111, 0), (123, 0), (116, 0), (84, 0), (122, 0)])","(50, 59, [(748, 0), (586, 0), (134, 0), (91, 0), (125, 0)])","(50, -20, [(1632, 0), (103, 0), (106, 0), (97, 0), (95, 0), (142, 0)])","(50, 1, [(2265, 0), (2091, 0), (131, 0), (143, 0), (128, 0), (130, 0), (110, 0), (109, 0)])","(50, -29, [(2745, 0), (85, 0), (92, 0), (107, 0), (138, 0), (82, 0)])","(50, -16, [(2072, 0), (92, 0), (94, 0), (120, 0), (144, 0)])","(50, -32, [(2656, 0), (141, 0), (147, 0), (124, 0), (82, 0)])","(40, -42, [(2086, 0), (891, 0), (115, 0), (123, 0), (94, 0), (88, 0)])","(50, -24, [(2346, 0), (2449, 0), (109, 0), (99, 0), (80, 0), (103, 0)])","(50, -35, [(2039, 0), (2217, 0), (124, 0), (130, 0), (133, 0), (97, 0)])","(50, -35, [(989, 1), (128, 0), (125, 0), (102, 0), (124, 0)])","(50, -18, [(2302, 0), (2849, 0), (139, 0), (99, 0), (140, 0), (127, 0)])","(50, -32, [(2370, 0), (132, 0), (104, 0), (85, 0), (82, 0)])","(50, -38, [(2259, 0), (99, 0), (95, 0), (121, 0), (148, 0)])","(50, -33, [(1706, 0), (2520, 0), (95, 0), (145, 0), (125, 0), (99, 0)])","(50, -22, [(1941, 1), (93, 0), (88, 0)])","(50, -31, [(2174, 2), (119, 0), (132, 0), (122, 0), (130, 0)])","(50, -40, [(2673, 1)])","(40, 43, [(825, 0), (131, 0)])","(40, -14, [(2012, 2), (95, 0), (125, 0), (104, 0)])","(50, -28, [(1864, 0), (147, 0), (141, 0), (98, 0)])","(50, 28, [(1932, 1), (136, 0), (96, 0), (86, 0)])","(40, -22, [(2939, 1), (132, 0)])","(50, -21, [(2319, 0), (117, 0), (84, 0)])","(50, -48, [(2166, 3), (107, 0), (122, 0), (121, 0)])","(50, -14, [(2608, 1), (143, 0)])","(40, -27, [(2149, 1)])","(50, -38, [(2308, 0), (129, 0)])","(50, 41, [(2368, 1), (96, 0), (115, 0), (117, 0), (86, 0)])","(50, -20, [(3079, 1), (149, 0)])"
"Field, Fredric",7135,"(40, 18, [(1802, 0), (1506, 0)])","(40, 43, [(153, 1), (799, 0), (109, 0), (145, 0)])","(40, 51, [(1512, 0), (122, 0), (146, 0)])","(50, 30, [(1613, 0), (1245, 0), (148, 0)])","(50, 55, [(1496, 0), (102, 0), (109, 0)])","(40, 37, [(1685, 0), (1351, 0), (106, 0), (118, 0), (112, 0)])","(40, -14, [(1585, 0), (1530, 0), (1655, 0), (147, 0), (115, 0), (82, 0), (117, 0)])","(50, -6, [(1021, 0), (146, 0), (83, 0), (126, 0), (96, 0), (100, 0)])","(50, 39, [(1466, 0), (81, 0), (135, 0), (110, 0)])","(40, 60, [(1070, 0), (80, 0), (98, 0), (132, 0), (112, 0)])","(50, 5, [(562, 1), (135, 0), (108, 0)])","(40, 61, [(1529, 0), (128, 0), (97, 0), (99, 0)])","(40, -17, [(1530, 0), (101, 0), (113, 0), (93, 0)])","(30, 62, [(1368, 0), (99, 0), (102, 0), (116, 0)])","(40, 39, [(1494, 0), (130, 0), (99, 0), (124, 0), (83, 0)])","(50, 30, [(1347, 0), (144, 0)])","(40, -32, [(1841, 3), (119, 0)])","(50, 33, [(1476, 2), (109, 0), (94, 0)])","(50, -6, [(572, 0), (83, 0)])","(50, 10, [(1000, 1), (94, 0), (134, 0)])","(40, 24, [(1281, 0)])","(40, -29, [(1131, 1), (133, 0), (140, 0), (117, 0), (89, 0), (116, 0)])","(50, 21, [(1898, 1), (96, 0), (118, 0), (102, 0)])","(40, 16, [(1570, 0), (106, 0), (126, 0)])","(50, 51, [(1666, 1), (80, 0)])","(30, -26, [(1459, 1), (131, 0), (115, 0), (139, 0), (92, 0)])","(40, 16, [(1395, 1), (130, 0)])","(50, -16, [(1719, 0), (99, 0), (80, 0)])","(30, 8, [(1460, 0)])","(30, 67, [(1716, 0)])"
"Gilson, Genie",3138,"(50, -36, [(2112, 0), (1641, 0), (83, 0), (109, 0), (135, 0), (86, 0), (111, 0), (99, 0)])","(0, 0, [])","(50, -39, [(2145, 0), (114, 0)])","(50, 67, [(1910, 0), (98, 0), (137, 0), (84, 0), (113, 0)])","(50, -38, [(2792, 0), (120, 0), (134, 0)])","(50, 56, [(1993, 0), (1784, 0), (125, 0), (150, 0), (99, 0), (82, 0)])","(0, 0, [])","(50, -21, [(1868, 0), (124, 0), (149, 0), (134, 0)])","(0, 0, [])","(50, 20, [(2189, 0), (104, 0), (98, 0), (142, 0)])","(50, -21, [(721, 1), (103, 0), (113, 0), (87, 0)])","(40, -16, [(2468, 0), (111, 0), (87, 0), (114, 0), (122, 0), (149, 0)])","(50, 9, [(2250, 0), (99, 0), (104, 0), (88, 0), (136, 0), (111, 0), (102, 0), (103, 0)])","(50, -28, [(2548, 0), (102, 0), (82, 0), (102, 0), (136, 0), (126, 0), (100, 0), (126, 0)])","(0, 0, [])","(50, 22, [(2016, 2), (127, 0), (92, 0), (80, 0)])","(40, -40, [(2166, 1), (133, 0), (150, 0)])","(50, 6, [(2461, 2), (136, 0)])","(50, -18, [(1022, 1), (114, 0)])","(0, 0, [])","(50, -19, [(2163, 1)])","(50, 3, [(2181, 1), (106, 0)])","(50, -2, [(3081, 1), (87, 0), (103, 0), (104, 0)])","(40, -41, [(2406, 1), (96, 0)])","(40, -7, [(2619, 1), (84, 0)])","(50, 24, [(2272, 1)])","(40, 49, [(2483, 1), (99, 0)])","(50, -23, [(2345, 1), (81, 0)])","(50, -20, [(2438, 1)])","(50, 70, [(2503, 1)])"
"Greenwell, Gia",4008,"(40, 46, [(1917, 0), (149, 0), (147, 0), (87, 0)])","(40, -6, [(321, 0), (112, 0), (120, 0), (107, 0), (110, 0)])","(30, 61, [(1356, 0), (86, 0), (148, 0), (102, 0)])","(50, -6, [(1212, 0), (1820, 0), (1417, 0), (129, 0), (108, 0), (124, 0)])","(30, -45, [(1655, 0), (149, 0), (138, 0)])","(40, 24, [(1512, 0), (1386, 0), (1509, 0), (134, 0), (83, 0), (115, 0)])","(50, -7, [(1292, 0), (1938, 0), (1832, 0), (136, 0)])","(50, 58, [(1147, 0), (109, 0), (143, 0)])","(50, -17, [(1660, 0), (1780, 0), (134, 0), (100, 0), (145, 0), (150, 0), (107, 0), (102, 0)])","(30, -16, [(1413, 0), (1571, 0), (113, 0), (103, 0), (147, 0)])","(40, 26, [(520, 0), (107, 0), (90, 0)])","(40, -4, [(1678, 0), (143, 0), (132, 0), (124, 0), (142, 0), (113, 0)])","(30, 1, [(1465, 0), (1796, 0), (147, 0), (123, 0), (83, 0)])","(30, -43, [(1115, 0), (1108, 0), (148, 0), (131, 0), (106, 0)])","(40, -48, [(1231, 0), (1248, 0), (114, 0), (118, 0), (99, 0), (148, 0), (149, 0)])","(40, 19, [(1235, 2), (143, 0), (133, 0)])","(40, -26, [(1288, 1), (131, 0), (116, 0)])","(40, 28, [(2085, 3), (87, 0)])","(50, -21, [(457, 2), (136, 0)])","(30, 3, [(1537, 0), (134, 0), (131, 0)])","(40, 54, [(971, 2)])","(50, 52, [(1607, 1), (128, 0), (141, 0)])","(40, 71, [(2183, 3), (109, 0), (149, 0)])","(40, 39, [(1240, 0)])","(40, 61, [(1422, 0), (80, 0)])","(40, 16, [(1575, 0), (145, 0), (138, 0), (102, 0), (134, 0)])","(40, 58, [(1685, 0), (149, 0)])","(50, 19, [(1403, 2), (123, 0)])","(40, -15, [(1563, 1), (88, 0)])","(30, 43, [(1999, 1), (93, 0)])"
"Hankey, Hazel",8237,"(40, -16, [(1567, 0), (1435, 0), (1842, 0), (124, 0), (125, 0), (143, 0)])","(50, -45, [(634, 0), (673, 0), (526, 0), (136, 0), (91, 0), (85, 0)])","(50, -18, [(1554, 0), (90, 0), (132, 0), (147, 0), (124, 0)])","(50, -42, [(1402, 0), (132, 0), (81, 0), (138, 0), (149, 0), (143, 0)])","(50, -40, [(1964, 0), (123, 0), (135, 0), (122, 0), (102, 0), (106, 0)])","(50, -39, [(1043, 0), (149, 0), (117, 0), (120, 0)])","(50, -2, [(1590, 0), (1469, 0), (114, 0), (88, 0), (121, 0)])","(50, -32, [(1395, 2), (82, 0), (148, 0)])","(40, -20, [(1231, 1), (136, 0)])","(50, -2, [(1440, 3), (150, 0), (125, 0), (127, 0), (91, 0), (109, 0), (91, 0)])","(50, -14, [(165, 0), (121, 0)])","(40, -36, [(1400, 0), (98, 0), (120, 0), (139, 0)])","(50, -3, [(1836, 0), (136, 0), (141, 0), (117, 0)])","(50, -9, [(1398, 0), (1204, 0), (1519, 0), (150, 0), (107, 0), (82, 0), (93, 0), (101, 0)])","(50, -9, [(1302, 0), (1713, 0)])","(50, -23, [(1641, 1), (135, 0), (135, 0)])","(50, -47, [(1384, 2), (93, 0), (126, 0)])","(40, -6, [(1708, 2), (120, 0), (89, 0), (123, 0), (85, 0)])","(50, -28, [(433, 0), (80, 0)])","(50, -8, [(1432, 2), (102, 0), (120, 0)])","(50, -12, [(1555, 1)])","(50, -9, [(1022, 0)])","(50, -27, [(1735, 1), (139, 0), (145, 0)])","(50, -17, [(1419, 1)])","(50, -20, [(1685, 1)])","(50, -15, [(1392, 0), (124, 0)])","(40, -11, [(1418, 1)])","(50, -36, [(1762, 0)])","(50, -16, [(1495, 1), (135, 0)])","(50, -27, [(1384, 1), (98, 0)])"
"Hersom, Hal",5086,"(50, -2, [(1624, 0), (93, 0), (124, 0), (130, 0)])","(50, -43, [(650, 0), (609, 0), (92, 0), (147, 0), (102, 0)])","(40, 32, [(1430, 0), (133, 0), (144, 0), (95, 0)])","(40, -26, [(1164, 0), (110, 0), (146, 0), (138, 0), (122, 0)])","(40, -19, [(1545, 0), (121, 0), (106, 0), (94, 0)])","(50, -41, [(1757, 0), (1640, 0), (123, 0), (108, 0), (113, 0)])","(50, -48, [(1723, 0), (1312, 0), (81, 0), (140, 0), (81, 0), (102, 0), (128, 0), (82, 0)])","(40, -12, [(1381, 0), (101, 0), (129, 0)])","(50, 29, [(1211, 0), (136, 0), (95, 0), (121, 0)])","(50, -29, [(1323, 0), (143, 0), (88, 0)])","(50, 65, [(820, 0), (150, 0), (125, 0), (92, 0)])","(40, -12, [(1400, 0), (147, 0), (100, 0), (102, 0), (112, 0)])","(30, 44, [(1778, 1), (93, 0)])","(30, -11, [(1550, 1), (128, 0)])","(50, -14, [(1570, 0), (107, 0)])","(50, -10, [(1218, 1), (140, 0), (143, 0)])","(50, -41, [(1298, 2), (138, 0), (120, 0), (125, 0), (135, 0)])","(50, -40, [(1446, 1), (110, 0), (146, 0), (117, 0), (135, 0), (112, 0), (92, 0)])","(30, -38, [(747, 1), (91, 0)])","(30, -9, [(1117, 1), (120, 0), (106, 0)])","(50, -11, [(1120, 3), (131, 0), (131, 0), (134, 0)])","(40, -20, [(979, 1), (83, 0)])","(30, -48, [(1965, 1)])","(30, 57, [(1545, 2), (100, 0)])","(40, -14, [(1667, 1)])","(40, -27, [(1458, 1)])","(50, -28, [(1266, 1), (126, 0), (86, 0), (90, 0)])","(50, -43, [(1718, 1), (90, 0)])","(40, 34, [(1785, 2), (109, 0)])","(30, -26, [(1899, 1), (145, 0), (116, 0), (117, 0)])"
"Igoe, Ivana",3954,"(40, -26, [(1180, 0), (901, 0), (1196, 0), (82, 0)])","(30, -12, [(418, 1), (329, 0), (854, 0), (92, 0), (90, 0)])","(30, -20, [(1250, 1), (479, 0), (81, 0), (134, 0), (106, 0), (103, 0), (92, 0)])","(50, -14, [(1383, 0), (818, 0), (130, 0), (128, 0)])","(30, 48, [(993, 0)])","(30, -34, [(973, 0), (122, 0), (135, 0)])","(0, 0, [])","(40, -22, [(827, 0), (339, 0), (114, 0)])","(40, -7, [(1327, 0), (1078, 0), (105, 0), (91, 0), (146, 0)])","(50, -31, [(1154, 0), (117, 0), (136, 0), (90, 0), (80, 0), (102, 0)])","(40, -48, [(603, 0)])","(0, 0, [])","(40, -2, [(1377, 0), (1081, 0), (109, 0), (92, 0), (141, 0), (83, 0), (123, 0)])","(50, -21, [(1172, 0), (1264, 0), (85, 0), (112, 0)])","(0, 0, [])","(40, -21, [(1106, 0)])","(0, 0, [])","(40, -15, [(1285, 0), (112, 0)])","(50, 18, [(574, 0), (91, 0), (85, 0)])","(40, -43, [(1320, 0), (129, 0)])","(0, 0, [])","(50, -4, [(1082, 0)])","(40, -2, [(1523, 2), (97, 0), (93, 0)])","(30, -31, [(1327, 0), (110, 0), (132, 0)])","(40, 27, [(1239, 1)])","(50, 35, [(938, 0), (84, 0)])","(40, 58, [(1386, 0)])","(40, -9, [(1348, 0), (143, 0)])","(50, -12, [(1201, 1), (117, 0)])","(40, -35, [(1543, 0), (147, 0)])"
"Iman, Isabell",1215,"(50, -20, [(1788, 0), (1391, 0), (2208, 0), (143, 0), (131, 0), (114, 0), (137, 0), (124, 0)])","(50, -4, [(493, 0), (95, 0), (83, 0), (103, 0), (90, 0), (92, 0), (100, 0)])","(50, -23, [(1508, 0), (114, 0), (125, 0), (140, 0), (87, 0), (134, 0), (120, 0), (92, 0)])","(50, -12, [(1891, 0), (1610, 0), (2429, 0), (126, 0), (125, 0), (89, 0)])","(40, -18, [(1797, 0), (132, 0), (127, 0), (138, 0), (87, 0), (132, 0)])","(50, -15, [(1726, 0), (1730, 0), (118, 0), (119, 0), (127, 0)])","(0, 0, [])","(50, -44, [(1914, 2), (112, 0), (115, 0)])","(50, -19, [(1969, 0), (121, 0), (81, 0), (119, 0), (93, 0)])","(50, -13, [(1878, 0), (1834, 0), (110, 0)])","(50, -5, [(668, 2), (147, 0), (128, 0)])","(50, -11, [(2194, 0), (150, 0)])","(40, -26, [(1847, 0), (124, 0)])","(50, -41, [(2065, 0), (1566, 0), (1912, 0), (149, 0), (108, 0), (102, 0)])","(50, -14, [(1826, 0), (1745, 0), (1678, 0), (81, 0)])","(0, 0, [])","(50, -9, [(2051, 0), (98, 0), (95, 0), (84, 0)])","(40, -16, [(2108, 1), (84, 0), (113, 0)])","(50, -14, [(475, 1)])","(40, -1, [(1747, 1), (109, 0)])","(50, -19, [(2056, 0), (146, 0)])","(50, -34, [(1581, 0)])","(50, -24, [(2224, 3), (123, 0), (129, 0)])","(50, -28, [(2219, 0), (81, 0), (95, 0), (91, 0)])","(50, -35, [(2248, 3)])","(50, -18, [(1812, 0), (136, 0)])","(50, -13, [(1707, 1), (128, 0)])","(50, -12, [(2245, 1), (93, 0), (117, 0), (110, 0), (93, 0)])","(50, -6, [(2208, 2), (110, 0)])","(0, 0, [])"
"Ingrassia, Irma",5168,"(50, -22, [(2250, 0), (99, 0), (116, 0), (84, 0), (101, 0), (87, 0), (100, 0)])","(50, -5, [(705, 0), (730, 0), (80, 0), (92, 0), (105, 0)])","(50, -39, [(2342, 0), (107, 0), (113, 0)])","(40, -14, [(1862, 1), (2069, 0), (2459, 0), (137, 0), (107, 0), (126, 0)])","(50, -44, [(2348, 0), (118, 0), (146, 0), (135, 0)])","(50, -45, [(2212, 0), (122, 0), (93, 0), (150, 0), (136, 0)])","(50, -31, [(2084, 0), (127, 0), (141, 0), (110, 0), (110, 0), (108, 0), (93, 0), (98, 0)])","(50, -15, [(1915, 0), (146, 0), (128, 0), (107, 0)])","(50, -20, [(2499, 1), (119, 0), (142, 0), (147, 0), (124, 0)])","(50, -16, [(2174, 3), (132, 0), (126, 0), (110, 0), (104, 0), (121, 0), (125, 0), (90, 0), (138, 0)])","(50, -5, [(1036, 0), (127, 0), (83, 0), (120, 0), (144, 0), (121, 0)])","(50, -26, [(2554, 0), (125, 0), (109, 0), (97, 0), (91, 0)])","(50, -19, [(2096, 0), (146, 0), (141, 0), (102, 0)])","(50, -15, [(2180, 0), (146, 0), (146, 0), (122, 0), (131, 0), (119, 0), (133, 0)])","(50, -25, [(1802, 0), (143, 0), (89, 0), (85, 0)])","(50, -3, [(2060, 2), (125, 0), (137, 0), (146, 0)])","(50, -4, [(2130, 1), (124, 0), (139, 0), (80, 0)])","(50, -33, [(2636, 1)])","(50, -40, [(981, 0), (139, 0)])","(50, -41, [(2280, 1), (145, 0), (81, 0)])","(50, -24, [(2209, 1), (150, 0)])","(40, -21, [(2034, 1)])","(50, -29, [(2575, 2), (80, 0), (148, 0)])","(50, -13, [(2449, 3)])","(40, -41, [(2083, 0), (90, 0)])","(50, -15, [(2194, 0), (117, 0)])","(50, -22, [(1650, 1), (118, 0)])","(50, -4, [(2647, 1), (114, 0)])","(50, -37, [(2635, 3), (118, 0), (147, 0), (101, 0), (86, 0)])","(40, -19, [(2601, 1), (85, 0), (96, 0), (106, 0)])"
"Jacome, Jesusa",5984,"(0, 0, [])","(50, -8, [(479, 0)])","(50, -3, [(557, 0), (146, 0), (108, 0), (102, 0)])","(30, -12, [(507, 0), (122, 0), (130, 0)])","(40, -40, [(346, 0)])","(40, -15, [(712, 0), (144, 0), (146, 0)])","(40, -30, [(380, 0), (778, 0), (85, 0)])","(50, -37, [(237, 0), (126, 0), (94, 0)])","(50, -28, [(359, 0)])","(0, 0, [])","(50, -39, [(305, 0)])","(0, 0, [])","(50, -44, [(584, 0), (123, 0), (127, 0), (150, 0)])","(40, -48, [(796, 0), (126, 0)])","(40, -17, [(559, 0), (630, 0), (127, 0), (98, 0)])","(40, -27, [(216, 1)])","(40, -2, [(941, 1)])","(40, -31, [(744, 3)])","(50, -21, [(171, 0), (144, 0), (127, 0)])","(40, -13, [(163, 1), (143, 0)])","(30, -16, [(567, 3), (131, 0), (128, 0)])","(40, -30, [(630, 1)])","(40, -18, [(657, 1), (136, 0), (95, 0)])","(50, -6, [(322, 1), (129, 0), (81, 0)])","(40, -21, [(520, 2)])","(40, -22, [(852, 2), (90, 0)])","(40, -34, [(633, 2)])","(0, 0, [])","(0, 0, [])","(40, -7, [(782, 1), (107, 0), (113, 0), (85, 0)])"
"Jamal, Jackelyn",7332,"(40, -41, [(1885, 0), (1536, 0), (100, 0), (130, 0)])","(50, -31, [(577, 0), (511, 0), (89, 0), (85, 0)])","(50, -35, [(1653, 0), (148, 0), (98, 0)])","(40, -24, [(1737, 0), (1658, 0), (144, 0), (138, 0), (90, 0), (93, 0)])","(40, -18, [(1648, 1), (116, 0), (131, 0), (95, 0)])","(50, -13, [(1614, 0), (141, 0), (87, 0), (114, 0), (86, 0), (88, 0)])","(50, -37, [(2015, 0), (96, 0), (107, 0), (130, 0)])","(50, -6, [(1326, 0), (88, 0), (97, 0)])","(50, -15, [(1579, 3), (87, 0), (114, 0), (123, 0)])","(50, -7, [(1904, 0), (149, 0), (138, 0), (139, 0)])","(50, -33, [(531, 0), (80, 0), (95, 0), (89, 0), (106, 0)])","(40, -20, [(1491, 0), (139, 0), (118, 0), (132, 0), (95, 0)])","(50, -6, [(1922, 0), (86, 0)])","(40, -6, [(1813, 0), (145, 0), (101, 0)])","(50, -12, [(1518, 1), (1974, 0), (127, 0), (115, 0), (146, 0), (134, 0)])","(50, -12, [(1836, 3), (141, 0), (84, 0), (120, 0)])","(50, -16, [(2021, 1)])","(40, -39, [(2138, 1), (113, 0), (146, 0)])","(50, -28, [(338, 1), (89, 0), (130, 0), (84, 0), (147, 0)])","(50, -43, [(1495, 2)])","(50, -31, [(1930, 3), (87, 0)])","(50, -7, [(1576, 1), (108, 0)])","(50, -1, [(2447, 1)])","(40, -3, [(2044, 3), (133, 0)])","(50, -18, [(1974, 1), (86, 0)])","(50, -39, [(1677, 2), (108, 0)])","(50, -39, [(2025, 1), (138, 0)])","(50, -17, [(1517, 1), (83, 0)])","(50, -23, [(2062, 1), (132, 0)])","(50, -10, [(2438, 2), (124, 0)])"
"Jamieson, Jolynn",1485,"(0, 0, [])","(40, -18, [(271, 0), (91, 0), (137, 0)])","(40, -39, [(553, 0), (183, 0), (142, 0)])","(50, -27, [(611, 0), (596, 0)])","(50, -34, [(413, 1)])","(40, -42, [(550, 3), (604, 0), (469, 0), (124, 0)])","(40, -26, [(906, 0)])","(40, -29, [(431, 0), (82, 0)])","(50, -21, [(957, 0), (99, 0), (99, 0), (92, 0)])","(0, 0, [])","(50, -47, [(117, 0), (89, 0), (137, 0), (109, 0)])","(0, 0, [])","(0, 0, [])","(40, -34, [(610, 0), (517, 0), (641, 0), (112, 0)])","(0, 0, [])","(50, -31, [(1229, 1), (114, 0)])","(40, -27, [(429, 1)])","(40, -42, [(1048, 2)])","(40, -7, [(282, 1), (100, 0), (98, 0), (123, 0)])","(40, -38, [(705, 1), (133, 0)])","(0, 0, [])","(0, 0, [])","(50, -39, [(913, 1), (100, 0)])","(40, -5, [(741, 0), (133, 0), (124, 0)])","(40, -23, [(701, 1), (117, 0), (86, 0)])","(40, -39, [(891, 0)])","(50, -38, [(622, 3)])","(40, -35, [(230, 0), (99, 0)])","(0, 0, [])","(50, -28, [(691, 1)])"
"Jandreau, Joi",3387,"(30, -27, [(1728, 0), (985, 0), (1671, 0), (118, 0), (103, 0)])","(40, -29, [(205, 1), (417, 0), (161, 0), (83, 0), (81, 0)])","(40, -5, [(1391, 0), (222, 0), (103, 0), (147, 0), (149, 0)])","(40, -3, [(1206, 0), (1845, 0), (1867, 0), (112, 0), (147, 0), (132, 0), (106, 0), (93, 0), (142, 0)])","(50, -5, [(1422, 0), (150, 0), (109, 0), (95, 0), (124, 0)])","(40, -17, [(1723, 0), (122, 0), (84, 0), (137, 0)])","(50, -6, [(1119, 0), (103, 0), (145, 0), (113, 0)])","(40, -10, [(1474, 0), (567, 0), (131, 0), (144, 0)])","(40, -12, [(1434, 0), (1689, 0), (82, 0), (140, 0), (142, 0), (85, 0), (143, 0)])","(40, -1, [(1164, 0), (1245, 0), (103, 0), (132, 0), (132, 0), (89, 0)])","(30, -8, [(438, 0), (97, 0)])","(40, -39, [(1673, 0), (112, 0), (148, 0), (87, 0), (112, 0), (101, 0), (111, 0), (117, 0)])","(50, -12, [(1482, 0), (1583, 0), (86, 0), (128, 0), (99, 0), (107, 0), (126, 0), (97, 0)])","(40, -9, [(1417, 0), (91, 0), (95, 0), (86, 0)])","(40, -14, [(1131, 0), (1706, 0), (1669, 0), (100, 0), (142, 0), (142, 0)])","(50, -28, [(1190, 1), (98, 0), (108, 0)])","(40, -29, [(1660, 1), (112, 0), (88, 0)])","(30, -31, [(1565, 0), (82, 0), (101, 0)])","(40, -4, [(607, 0), (125, 0)])","(50, -39, [(1026, 0), (89, 0), (88, 0)])","(40, -31, [(1357, 0), (102, 0)])","(50, -48, [(1177, 1), (97, 0)])","(50, -25, [(1796, 0), (126, 0)])","(50, -23, [(1952, 1), (133, 0)])","(50, -22, [(1601, 1), (148, 0)])","(50, -28, [(1584, 0), (83, 0)])","(40, -28, [(1211, 1), (123, 0), (135, 0)])","(50, -19, [(1348, 0), (131, 0), (144, 0), (138, 0)])","(40, -10, [(1942, 0), (132, 0)])","(40, -44, [(1878, 0), (147, 0), (141, 0), (148, 0)])"
"Jawad, Janee",7204,"(50, -44, [(401, 0), (418, 0), (775, 0), (107, 0), (93, 0)])","(40, -15, [(446, 1)])","(50, -45, [(417, 0), (114, 0), (134, 0), (143, 0), (101, 0), (102, 0)])","(50, -48, [(781, 0), (112, 0)])","(50, -32, [(582, 1), (81, 0)])","(50, -23, [(679, 0), (370, 0)])","(50, -6, [(982, 0), (140, 0), (81, 0)])","(50, -8, [(423, 0), (133, 0), (145, 0), (144, 0)])","(50, -19, [(931, 0)])","(50, -31, [(553, 1)])","(50, -21, [(192, 0), (109, 0)])","(50, -41, [(742, 0), (917, 0), (142, 0)])","(50, -6, [(314, 1), (94, 0)])","(50, -1, [(866, 0), (630, 0), (89, 0)])","(50, -10, [(886, 0), (80, 0)])","(50, -1, [(546, 3), (104, 0)])","(50, -48, [(662, 3), (149, 0), (148, 0), (129, 0), (93, 0), (89, 0)])","(50, -7, [(1249, 2), (101, 0), (124, 0)])","(50, -39, [(368, 0), (86, 0), (114, 0)])","(40, -20, [(796, 3), (117, 0), (106, 0)])","(50, -6, [(667, 3)])","(40, 19, [(735, 1), (102, 0)])","(50, -44, [(1023, 2)])","(50, -47, [(527, 1)])","(50, -14, [(760, 1)])","(50, -36, [(761, 1)])","(50, -7, [(536, 0)])","(50, -27, [(523, 1), (145, 0), (137, 0)])","(50, -18, [(726, 1), (91, 0), (129, 0)])","(50, -25, [(726, 1)])"
"Jawad, Judson",6747,"(50, 33, [(1674, 1), (1364, 0), (102, 0), (96, 0), (127, 0), (142, 0), (129, 0)])","(0, 0, [])","(50, 59, [(1887, 0), (113, 0), (83, 0), (96, 0)])","(50, -32, [(1531, 0), (132, 0), (135, 0), (80, 0)])","(50, 39, [(1948, 0), (105, 0)])","(50, 63, [(1903, 1), (1425, 0), (1590, 0), (108, 0), (124, 0)])","(50, -44, [(1486, 0), (1960, 0), (108, 0)])","(40, 67, [(1552, 0)])","(50, 46, [(1617, 0), (85, 0), (139, 0), (99, 0), (147, 0)])","(50, 24, [(1622, 0), (128, 0), (113, 0), (116, 0), (130, 0), (113, 0)])","(50, -33, [(803, 0), (88, 0)])","(50, -28, [(2099, 0), (96, 0), (132, 0), (129, 0), (138, 0), (91, 0)])","(50, 6, [(1764, 0), (113, 0), (82, 0), (124, 0), (99, 0), (149, 0)])","(50, -14, [(1823, 0), (1512, 0), (134, 0), (81, 0)])","(50, -5, [(1744, 1), (107, 0), (108, 0)])","(40, 28, [(1666, 1)])","(50, 60, [(1873, 1), (145, 0)])","(50, 17, [(1932, 1), (132, 0)])","(50, -16, [(565, 1), (98, 0), (96, 0), (105, 0)])","(50, -15, [(1503, 1), (98, 0)])","(50, 34, [(1175, 3)])","(50, 24, [(1361, 1), (138, 0), (87, 0), (135, 0)])","(40, -37, [(2153, 1), (131, 0)])","(50, 57, [(1825, 3), (85, 0)])","(50, 8, [(1811, 3), (127, 0)])","(40, 5, [(1739, 3), (142, 0), (98, 0)])","(50, 27, [(2051, 0), (140, 0), (82, 0)])","(50, -27, [(2229, 0), (129, 0), (149, 0)])","(50, 39, [(1784, 1), (90, 0)])","(50, 46, [(2147, 3), (88, 0), (129, 0)])"
